dataset_short_name,model,level,f1_mean,f1_std,f1_rank
p2p/0.45,MP-Former (Offline),attribute,0.0828457450780928,2.7066814506920204e-05,1.0
p2p/0.45,MP-Former (Offline),event,0.11240765976216112,0.0012255093155809286,3.0
p2p/0.45,MP-Former (Offline),trace,0.5419376885425281,0.003313342436421024,3.0
p2p/0.45,MP-Former (Online),attribute,0.07602872452639348,0.0008605481130530885,2.0
p2p/0.45,MP-Former (Online),event,0.10570218548083876,0.0011940607169582647,4.0
p2p/0.45,MP-Former (Online),trace,0.4966055551211251,0.0024569240510329085,4.0
gigantic/0.05,COMB (1),combined,0.02507992498989806,0.0249955434290265,3.5
gigantic/0.05,COMB (20),combined,0.02507992498989806,0.0249955434290265,3.5
gigantic/0.05,MP-Former (Offline),combined,0.061571905321020894,0.04097897043075496,1.0
gigantic/0.05,MP-Former (Online),combined,0.04458994021974619,0.030881310813076927,2.0
gigantic/0.1,COMB (1),combined,0.05175473480700517,0.05457233442709123,3.5
gigantic/0.1,COMB (20),combined,0.05175473480700517,0.05457233442709123,3.5
gigantic/0.1,MP-Former (Offline),combined,0.09925225935166018,0.0802428930836872,1.0
gigantic/0.1,MP-Former (Online),combined,0.07120841372873325,0.05830244131803456,2.0
gigantic/0.15,COMB (1),combined,0.08327851549401741,0.08697383768447488,3.5
gigantic/0.15,COMB (20),combined,0.08327851549401741,0.08697383768447488,3.5
gigantic/0.15,MP-Former (Offline),combined,0.1121620187481479,0.09752400076755981,1.0
gigantic/0.15,MP-Former (Online),combined,0.09175609796214683,0.0778499610758118,2.0
gigantic/0.2,COMB (1),combined,0.10542940801050409,0.11281372971006189,2.5
gigantic/0.2,COMB (20),combined,0.10542940801050409,0.11281372971006189,2.5
gigantic/0.2,MP-Former (Offline),combined,0.13071845272953073,0.11309260156337865,1.0
gigantic/0.2,MP-Former (Online),combined,0.10515821712951944,0.08928433442523136,4.0
gigantic/0.25,COMB (1),combined,0.1383818623863791,0.14263440215485365,1.5
gigantic/0.25,COMB (20),combined,0.1383818623863791,0.14263440215485365,1.5
gigantic/0.25,MP-Former (Offline),combined,0.12451215136186315,0.09614696214033175,3.0
gigantic/0.25,MP-Former (Online),combined,0.10656794672486819,0.08517400433322184,4.0
gigantic/0.3,COMB (1),combined,0.16723797582051192,0.165463904500703,1.5
gigantic/0.3,COMB (20),combined,0.16723797582051192,0.165463904500703,1.5
gigantic/0.3,MP-Former (Offline),combined,0.14929380197829994,0.1224811111114316,3.0
gigantic/0.3,MP-Former (Online),combined,0.13431084589980208,0.11346523878699996,4.0
gigantic/0.35,COMB (1),combined,0.19981800054830037,0.17488135226977347,1.5
gigantic/0.35,COMB (20),combined,0.19981800054830037,0.17488135226977347,1.5
gigantic/0.35,MP-Former (Offline),combined,0.15113939647539987,0.14202639565803044,3.0
gigantic/0.35,MP-Former (Online),combined,0.1425183429326432,0.13217630829350716,4.0
gigantic/0.4,COMB (1),combined,0.221907242641426,0.2095902774102104,1.5
gigantic/0.4,COMB (20),combined,0.221907242641426,0.2095902774102104,1.5
gigantic/0.4,MP-Former (Offline),combined,0.1563523994295282,0.12562146066247723,3.0
gigantic/0.4,MP-Former (Online),combined,0.1453136310601214,0.11804012518787678,4.0
gigantic/0.45,COMB (1),combined,0.24773333762830113,0.23313980997853176,1.5
gigantic/0.45,COMB (20),combined,0.24773333762830113,0.23313980997853176,1.5
gigantic/0.45,MP-Former (Offline),combined,0.20996380865670494,0.17743016825131816,3.0
gigantic/0.45,MP-Former (Online),combined,0.19346144261471862,0.16237819752860203,4.0
p2p/0.05,COMB (1),combined,0.02464938374678327,0.027535560705276213,3.5
p2p/0.05,COMB (20),combined,0.02464938374678327,0.027535560705276213,3.5
p2p/0.05,MP-Former (Offline),combined,0.1687699677995718,0.16540919507500843,1.0
p2p/0.05,MP-Former (Online),combined,0.13062975011001263,0.122287941153056,2.0
p2p/0.1,COMB (1),combined,0.056173185336399145,0.06230780452096395,3.5
p2p/0.1,COMB (20),combined,0.056173185336399145,0.06230780452096395,3.5
p2p/0.1,MP-Former (Offline),combined,0.16400919794875,0.17165201662448465,1.0
p2p/0.1,MP-Former (Online),combined,0.14065592070904842,0.14239161548634705,2.0
p2p/0.15,COMB (1),combined,0.07821983658269045,0.08718465663433968,3.5
p2p/0.15,COMB (20),combined,0.07821983658269045,0.08718465663433968,3.5
p2p/0.15,MP-Former (Offline),combined,0.1866918434399998,0.17717268418125828,1.0
p2p/0.15,MP-Former (Online),combined,0.1577492932742629,0.1448714885972249,2.0
p2p/0.2,COMB (1),combined,0.10210034695488768,0.1101094010056487,3.5
p2p/0.2,COMB (20),combined,0.10210034695488768,0.1101094010056487,3.5
